system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,152.20253,277.2172071702894,83.0323941211267,210.11544419427898,25.0,0.7712,583.0,92.0,299.0,2009.0,33.0,406.0,252.0,721.0,41.47478774904189,106,43,57,52,200.0,-7.0,50.0,80.0,166.0,59.0,-34.0,5421.0,129.0,34.0,6.337114012834834,59.28854166127921,
1,184.24222,221.29297767754002,84.40204716886637,191.84305896715432,25.0,0.7296,583.0,92.0,299.0,2009.0,33.0,406.0,252.0,721.0,45.17826183817582,119,15,54,55,200.0,-7.0,50.0,80.0,166.0,59.0,-34.0,5421.0,129.0,34.0,6.34119326227959,59.28854166127921,
2,267.63712,245.75753829425742,46.428926511805315,218.21853116581065,25.0,0.7337,602.0,95.0,309.0,2064.0,33.0,417.0,259.0,737.0,27.732263366710516,135,10,56,56,200.0,-15.0,50.0,71.0,157.0,50.0,-43.0,5418.0,120.0,25.0,6.345272511724411,59.28854166127921,
3,282.4851,171.15080774464542,33.447268948965444,177.9908132286061,25.0,0.762,602.0,95.0,309.0,2064.0,33.0,417.0,259.0,737.0,23.001445340858805,130,12,55,55,200.0,-15.0,50.0,71.0,157.0,50.0,-43.0,5418.0,120.0,25.0,6.349351761169232,59.28854166127921,
4,318.64157,247.9999286871184,31.73065152305174,213.7489407583336,25.0,0.7665,604.0,95.0,309.0,2068.0,33.0,418.0,259.0,738.0,22.88738435621358,130,8,53,59,200.0,-16.0,50.0,69.0,156.0,49.0,-44.0,5387.0,119.0,24.0,6.353431010614053,59.28854166127921,
5,375.34583,284.4261432694549,30.19772271157777,227.43400567359677,25.0,0.75945,604.0,95.0,309.0,2068.0,33.0,418.0,259.0,738.0,23.48213868860777,130,8,54,63,200.0,-16.0,50.0,69.0,156.0,49.0,-44.0,5387.0,119.0,24.0,6.3575102600588735,59.28854166127921,
6,428.8139,270.89940066988794,14.814448777479685,199.06229872937215,25.0,0.73905,607.0,96.0,312.0,2078.0,32.0,421.0,260.0,739.0,8.928502893138978,142,7,51,61,200.0,-18.0,50.0,67.0,154.0,47.0,-46.0,5371.0,117.0,23.0,6.361589509503696,59.28854166127921,
7,439.47577,160.10948485174634,4.590183439163039,174.01604414670246,24.0,0.718,608.0,96.0,312.0,2079.0,32.0,421.0,260.0,739.0,4.920569047712833,141,11,50,66,201.0,-19.0,50.0,66.0,153.0,46.0,-48.0,5395.0,116.0,22.0,6.369748008393337,59.28854166127921,
8,411.1248,138.99171596357405,15.891841720864093,156.89456916596595,24.0,0.7598,606.0,95.0,309.0,2069.0,33.0,418.0,260.0,738.0,18.49108319017845,132,10,48,66,201.0,-17.0,50.0,69.0,156.0,48.0,-45.0,5412.0,119.0,24.0,6.390144255617378,59.28854166127921,
9,358.0673,122.4557317177563,13.45349885614544,155.26868219754658,24.0,0.75975,605.0,95.0,308.0,2064.0,33.0,416.0,260.0,737.0,14.224748879011143,129,11,49,67,202.0,-16.0,50.0,71.0,158.0,50.0,-44.0,5433.0,121.0,26.0,6.394223505062199,59.28854166127921,
10,347.13818,148.93690188626528,8.619681929144553,182.28211625788921,24.0,0.70745,603.0,94.0,306.0,2056.0,33.0,413.0,260.0,737.0,7.126738343913611,133,15,49,61,202.0,-15.0,50.0,72.0,159.0,51.0,-43.0,5450.0,122.0,26.0,6.406461253396663,59.28854166127921,
11,566.9869,291.73297969782357,16.898116784465252,217.23482447170517,24.0,0.70725,605.0,97.0,315.0,2071.0,31.0,423.0,255.0,728.0,16.99784844407688,119,3,48,63,204.0,-30.0,50.0,55.0,145.0,36.0,-59.0,5473.0,107.0,11.0,6.475808493958491,59.28854166127921,
12,624.87024,204.1496060851789,9.601653825544792,191.33585727216263,24.0,0.6394,605.0,97.0,315.0,2071.0,31.0,423.0,255.0,728.0,8.005294516156965,126,3,52,63,204.0,-30.0,50.0,55.0,145.0,36.0,-59.0,5473.0,107.0,11.0,6.479887743403313,59.28854166127921,
13,653.97394,251.79583048918622,14.602966156980743,210.45982611797325,24.0,0.68865,601.0,96.0,312.0,2058.0,31.0,422.0,253.0,723.0,15.305828384265563,111,5,53,62,205.0,-32.0,50.0,54.0,144.0,34.0,-61.0,5507.0,106.0,10.0,6.512521738961816,59.28854166127921,
14,667.0047,148.07456256385365,19.146492841712742,160.02904375483968,24.0,0.67145,498.0,96.0,312.0,2054.0,31.0,420.0,252.0,721.0,15.449198948333176,104,6,53,60,206.0,-31.0,51.0,54.0,145.0,34.0,-61.0,5487.0,106.0,10.0,6.520680237851392,59.28854166127921,
15,645.08545,175.38714508183605,20.287188236999985,184.86144941031515,24.0,0.69435,498.0,96.0,312.0,2054.0,31.0,420.0,252.0,721.0,15.27937119618054,104,6,52,55,206.0,-31.0,51.0,54.0,145.0,34.0,-61.0,5487.0,106.0,10.0,6.524759487296214,59.28854166127921,
16,657.2896,168.88354796148369,32.637910640217214,197.12324861089647,24.0,0.6863,495.0,96.0,313.0,2048.0,31.0,422.0,250.0,716.0,18.010389029423163,115,6,55,57,206.0,-35.0,51.0,50.0,141.0,31.0,-65.0,5508.0,103.0,7.0,6.5451557345203195,59.28854166127921,
17,735.0627,199.22578643440647,22.679476908675138,210.00928539894133,24.0,0.5768,498.0,97.0,316.0,2051.0,30.0,425.0,248.0,712.0,17.858963696714383,114,7,54,65,205.0,-40.0,51.0,45.0,136.0,26.0,-69.0,5484.0,97.0,3.0,6.561472732299539,59.28854166127921,
18,347.80423,221.18195085919297,66.46871092978783,193.4871677935246,25.0,0.66965,583.0,92.0,299.0,2009.0,33.0,406.0,252.0,721.0,30.036475233481756,130,10,60,52,200.0,-7.0,50.0,80.0,166.0,59.0,-34.0,5421.0,129.0,34.0,6.3367261393069185,59.28645832794606,
19,345.75488,114.17651523529935,42.589804581288995,159.22967469407328,25.0,0.71265,583.0,92.0,299.0,2009.0,33.0,406.0,252.0,721.0,22.527418936086494,128,9,54,56,200.0,-7.0,50.0,80.0,166.0,59.0,-34.0,5421.0,129.0,34.0,6.340805139074475,59.28645832794606,
20,344.5986,181.01652811960437,29.43857775017384,182.1694150769576,25.0,0.75355,602.0,95.0,309.0,2064.0,33.0,417.0,259.0,737.0,20.27257810836101,134,7,54,59,200.0,-15.0,50.0,71.0,157.0,50.0,-43.0,5418.0,120.0,25.0,6.344884138842097,59.28645832794606,
21,323.6297,194.12458508934645,23.92306818852484,183.56223955163858,25.0,0.759,602.0,95.0,309.0,2064.0,33.0,417.0,259.0,737.0,20.76846611511668,140,9,55,59,200.0,-15.0,50.0,71.0,157.0,50.0,-43.0,5418.0,120.0,25.0,6.34896313860972,59.28645832794606,
22,375.26968,223.1103054347172,20.78082747251583,200.2511018621721,25.0,0.7439,604.0,95.0,309.0,2068.0,33.0,418.0,259.0,738.0,15.353650984345634,140,8,51,63,200.0,-16.0,50.0,69.0,156.0,49.0,-44.0,5387.0,119.0,24.0,6.353042138377343,59.28645832794606,
23,395.90213,202.0524884280536,14.54925886834289,201.61078934595417,25.0,0.73495,604.0,95.0,309.0,2068.0,33.0,418.0,259.0,738.0,16.14935773067156,136,6,50,65,200.0,-16.0,50.0,69.0,156.0,49.0,-44.0,5387.0,119.0,24.0,6.357121138144965,59.28645832794606,
24,421.33203,180.57366129131955,11.892984230779263,173.22138923143999,25.0,0.741,607.0,96.0,312.0,2078.0,32.0,421.0,260.0,739.0,12.244808370944732,137,7,50,62,200.0,-18.0,50.0,67.0,154.0,47.0,-46.0,5371.0,117.0,23.0,6.361200137912589,59.28645832794606,
25,418.42636,234.88451801692977,28.02860233017396,205.49896473925256,24.0,0.7224,606.0,95.0,309.0,2069.0,33.0,418.0,260.0,738.0,22.83434980990204,141,11,51,65,201.0,-17.0,50.0,69.0,156.0,48.0,-45.0,5412.0,119.0,24.0,6.385674136518258,59.28645832794606,
26,398.83966,160.22124895574706,25.69694975966574,150.62653382201202,24.0,0.7056,606.0,95.0,309.0,2069.0,33.0,418.0,260.0,738.0,19.598136113072798,141,12,49,66,201.0,-17.0,50.0,69.0,156.0,48.0,-45.0,5412.0,119.0,24.0,6.389753136285881,59.28645832794606,
27,359.0744,129.31769361941687,20.27495187400899,153.61863925652398,24.0,0.7369,605.0,95.0,308.0,2064.0,33.0,416.0,260.0,737.0,14.772881818747896,122,13,49,65,202.0,-16.0,50.0,71.0,158.0,50.0,-44.0,5433.0,121.0,26.0,6.393832136053503,59.28645832794606,
