system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,1033.068,244.23125343943727,7.331639947012086,189.412699073493,28.0,0.7049,155.0,31.0,111.0,751.0,30.0,247.0,90.0,259.0,6.991448319744331,124,6,57,51,287.0,-96.0,81.0,-59.0,153.0,-5.0,-134.0,7266.0,91.0,79.0,8.62811344213262,61.08437499445181,
1,1029.3026,70.36931034003847,7.865740948173737,167.67418370041415,28.0,0.735,155.0,31.0,111.0,751.0,30.0,247.0,90.0,259.0,6.762390729945327,142,2,57,51,287.0,-96.0,81.0,-59.0,153.0,-5.0,-134.0,7266.0,91.0,79.0,8.632422113014924,61.08437499445181,
2,1020.8284,167.9236095680959,7.21856775064126,184.1616951495328,28.0,0.7196,155.0,31.0,111.0,751.0,30.0,247.0,90.0,259.0,6.464971178747353,138,4,58,51,287.0,-96.0,81.0,-59.0,153.0,-5.0,-134.0,7252.0,91.0,79.0,8.636730783897228,61.08437499445181,
3,1017.7237,42.74589231084597,6.995339230700915,170.33854616217474,28.0,0.70165,155.0,31.0,111.0,751.0,30.0,247.0,90.0,259.0,6.962161392111189,128,6,58,52,287.0,-96.0,81.0,-59.0,153.0,-5.0,-134.0,7252.0,91.0,79.0,8.641039454779532,61.08437499445181,
4,1010.7262,53.40510039201698,2.5027563846907213,175.03502441766045,28.0,0.68235,155.0,31.0,111.0,752.0,30.0,247.0,90.0,259.0,3.1941627236516457,126,8,57,48,287.0,-97.0,81.0,-59.0,153.0,-5.0,-134.0,7276.0,91.0,79.0,8.64965679654407,61.08437499445181,
5,1001.541,34.72295007794261,10.800527362100539,170.32600385964727,27.0,0.7489,145.0,30.0,105.0,722.0,31.0,241.0,88.0,252.0,7.090320438229884,131,2,56,52,293.0,-95.0,82.0,-55.0,159.0,-1.0,-134.0,7387.0,96.0,84.0,8.6798174927202,61.08437499445181,
6,982.48096,35.41884693427012,15.161742741579607,160.51743114254967,27.0,0.77495,145.0,30.0,105.0,721.0,31.0,241.0,88.0,252.0,11.545945212186648,142,5,60,50,293.0,-95.0,82.0,-55.0,159.0,-1.0,-134.0,7399.0,96.0,84.0,8.684126163602434,61.08437499445181,
7,957.55133,34.095518467680954,14.59265819400714,163.63036383116645,27.0,0.7678,145.0,30.0,105.0,721.0,31.0,241.0,88.0,252.0,9.914410631220347,139,7,56,52,293.0,-95.0,82.0,-55.0,159.0,-1.0,-134.0,7399.0,96.0,84.0,8.688434834484738,61.08437499445181,
8,1025.752,289.6353427225688,8.38088994937651,205.3030537022381,28.0,0.72265,164.0,33.0,119.0,780.0,28.0,253.0,92.0,265.0,9.212778477858564,121,3,55,54,284.0,-99.0,80.0,-62.0,148.0,-9.0,-136.0,7164.0,86.0,74.0,8.618928761194727,61.08229166111866,
9,1044.4977,135.9463512546604,6.252074056907457,177.49969650344698,28.0,0.7118,164.0,33.0,119.0,780.0,28.0,253.0,92.0,265.0,4.451990726681699,124,4,57,54,284.0,-99.0,80.0,-62.0,148.0,-9.0,-136.0,7164.0,86.0,74.0,8.623237148478344,61.08229166111866,
10,1044.3889,162.63182314642475,8.468537848982553,179.3767413269675,27.0,0.72215,166.0,34.0,120.0,788.0,28.0,256.0,93.0,267.0,7.420107776235089,131,5,57,53,283.0,-100.0,79.0,-64.0,146.0,-10.0,-137.0,7147.0,84.0,73.0,8.631853923045577,61.08229166111866,
11,1036.7261,110.65690040487281,10.833172388887002,177.45854125939593,28.0,0.7436,161.0,33.0,117.0,773.0,29.0,252.0,92.0,264.0,6.379932888210479,144,3,58,52,285.0,-99.0,80.0,-62.0,149.0,-8.0,-136.0,7233.0,88.0,76.0,8.636162310329198,61.08229166111866,
