system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,28.155096,142.927226572724,8.732764986263424,176.5562068423319,27.0,0.7742,399.0,59.0,206.0,1337.0,31.0,245.0,166.0,469.0,6.563642053433084,123,12,52,64,165.0,16.0,46.0,82.0,159.0,68.0,-6.0,4391.0,125.0,47.0,7.095337618562968,62.82395832762945,
1,1.279813,100.49203131116327,1.5959780024383179,181.36596158540087,26.0,0.66365,439.0,67.0,233.0,1486.0,32.0,360.0,182.0,523.0,1.4161447757354508,109,8,60,59,154.0,21.0,41.0,80.0,155.0,70.0,1.0,4157.0,124.0,51.0,6.816606311509926,62.821874994296294,
2,20.659798,154.89015768701213,6.826529967716172,174.7213040864278,28.0,0.83105,402.0,60.0,209.0,1351.0,31.0,247.0,167.0,474.0,6.629999864516073,119,12,55,60,164.0,17.0,46.0,81.0,159.0,68.0,-5.0,4380.0,125.0,47.0,7.066967910873224,62.819791660963155,
3,8.512883,176.73959197102195,5.424771194228763,183.92939209508154,28.0,0.716,399.0,60.0,208.0,1342.0,31.0,246.0,166.0,471.0,7.556135982868418,128,8,56,62,164.0,17.0,46.0,82.0,159.0,68.0,-5.0,4398.0,126.0,47.0,7.085211132326679,62.819791660963155,
4,16.284588,143.88382668367296,5.424215926351163,171.70506452833024,28.0,0.81435,405.0,61.0,211.0,1361.0,31.0,249.0,168.0,477.0,5.933156596609407,101,12,52,60,164.0,16.0,46.0,81.0,158.0,68.0,-6.0,4374.0,125.0,47.0,7.066467531491817,62.81770832763,
5,4.127415,104.6096128626118,3.921170108696985,180.91971236649084,28.0,0.60295,399.0,60.0,208.0,1342.0,31.0,246.0,166.0,471.0,3.606958156353259,114,8,55,64,164.0,17.0,46.0,82.0,159.0,68.0,-5.0,4398.0,126.0,47.0,7.084709461226958,62.81770832763,
6,12.937958,130.2568327803849,3.6207617084217767,173.77161974287918,28.0,0.7945,404.0,60.0,209.0,1355.0,31.0,248.0,168.0,475.0,3.0341679931598566,133,11,55,66,164.0,15.0,46.0,79.0,157.0,66.0,-7.0,4386.0,123.0,45.0,7.075087551417856,62.81562499429686,
7,5.5656424,167.2819165106434,2.51862826367725,179.563467588572,26.0,0.7876,407.0,74.0,258.0,1640.0,32.0,392.0,202.0,583.0,2.246402190721467,108,6,55,63,144.0,28.0,38.0,80.0,152.0,72.0,8.0,3897.0,123.0,57.0,6.478547707452299,62.75729166096874,
8,271.2014,156.6593718079042,86.1492898526882,131.5387762054256,27.0,0.8667,433.0,66.0,229.0,1465.0,31.0,266.0,180.0,515.0,44.12187549478568,91,20,55,55,158.0,17.0,44.0,79.0,154.0,67.0,-4.0,4256.0,123.0,47.0,6.860450360889279,62.696874994307485,
9,222.5042,176.28046926130304,85.70902496748165,172.09250992765277,27.0,0.8627,433.0,66.0,229.0,1465.0,31.0,266.0,180.0,515.0,44.25989068042776,86,20,53,58,158.0,17.0,44.0,79.0,154.0,67.0,-4.0,4256.0,123.0,47.0,6.864992201578155,62.696874994307485,
10,70.4103,162.28462238520274,45.884150420797994,158.2848616805632,27.0,0.893,433.0,66.0,229.0,1465.0,31.0,266.0,180.0,515.0,25.29777114645833,119,6,52,61,158.0,17.0,44.0,79.0,154.0,67.0,-4.0,4256.0,123.0,47.0,6.864508678562574,62.694791660974346,
11,86.87322,172.6092987165104,31.567167587695266,184.8040556928852,26.0,0.8338,441.0,79.0,277.0,1762.0,33.0,416.0,220.0,628.0,24.633121416043664,108,11,54,55,143.0,26.0,38.0,77.0,150.0,71.0,7.0,3863.0,122.0,56.0,6.24100165927827,62.6885416609749,
