system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,191.59358,265.92728108883506,42.23601006769165,248.03849895098338,27.0,0.56895,596.0,110.0,388.0,2394.0,31.0,567.0,306.0,843.0,36.23583815630247,108,16,66,56,155.0,5.0,42.0,60.0,139.0,52.0,-16.0,4009.0,104.0,37.0,5.302984480065057,61.83437499438469,
1,123.70941,318.33732688310096,57.69035054389449,244.38809712520793,27.0,0.7244,571.0,105.0,373.0,2312.0,32.0,548.0,301.0,820.0,37.5233024285467,88,11,52,57,156.0,14.0,43.0,70.0,149.0,62.0,-7.0,4030.0,114.0,47.0,5.323968029938462,61.82812499438524,
2,235.86415,262.15603344372835,37.07464863493624,212.2612043610369,27.0,0.74075,586.0,108.0,382.0,2362.0,32.0,559.0,305.0,835.0,21.78823543209007,101,11,55,59,155.0,9.0,43.0,64.0,143.0,56.0,-12.0,4034.0,109.0,41.0,5.328380767633949,61.82812499438524,
3,328.00336,266.6594164741577,24.895638854773466,216.5374797516179,27.0,0.6816,608.0,112.0,394.0,2433.0,31.0,576.0,308.0,855.0,21.94142463302277,88,9,56,58,157.0,-1.0,43.0,55.0,135.0,47.0,-22.0,4044.0,100.0,32.0,5.337206243024925,61.82812499438524,
4,187.30682,334.5025080294075,85.48064796766043,231.50058058947127,27.0,0.7564,571.0,105.0,373.0,2312.0,32.0,548.0,301.0,820.0,43.75342978916762,74,14,53,56,156.0,14.0,43.0,70.0,149.0,62.0,-7.0,4030.0,114.0,47.0,5.319194159549958,61.8260416610521,
5,331.59238,157.7305673590364,66.64149410571851,173.97205953439507,27.0,0.7685,586.0,108.0,382.0,2362.0,32.0,559.0,305.0,835.0,31.960988270875877,95,12,56,57,155.0,9.0,43.0,64.0,143.0,56.0,-12.0,4034.0,109.0,41.0,5.328019035799106,61.8260416610521,
6,389.71375,298.2850762410495,66.17240605187568,212.42492694778832,27.0,0.6366,608.0,112.0,394.0,2433.0,31.0,576.0,308.0,855.0,36.962219926362806,89,10,56,55,157.0,-1.0,43.0,55.0,135.0,47.0,-22.0,4044.0,100.0,32.0,5.336843912048326,61.8260416610521,
7,54.930195,282.35346627816864,61.20756757170761,195.52670849692072,27.0,0.7504,599.0,110.0,390.0,2407.0,31.0,570.0,307.0,848.0,33.171724074171635,82,13,55,55,156.0,3.0,43.0,59.0,138.0,51.0,-18.0,4023.0,103.0,36.0,5.301184528517254,61.82395832771895,
8,79.7479,317.40308302992196,73.16289179060927,200.85340297281104,27.0,0.7922,599.0,110.0,390.0,2407.0,31.0,570.0,307.0,848.0,37.30343346991177,94,14,51,54,156.0,3.0,43.0,59.0,138.0,51.0,-18.0,4023.0,103.0,36.0,5.305596667117491,61.82395832771895,
9,149.66158,328.1013282027376,85.54777618110046,240.75591149680207,27.0,0.79225,605.0,111.0,392.0,2423.0,31.0,574.0,308.0,852.0,43.17101212554755,101,17,52,52,156.0,1.0,43.0,57.0,135.0,48.0,-21.0,4027.0,101.0,34.0,5.310008805717727,61.82395832771895,
