system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,948.726,258.1097891708439,26.671551429614205,195.28156201565142,25.0,0.7007,371.0,77.0,265.0,1602.0,27.0,368.0,183.0,529.0,16.81200327394966,130,2,52,55,224.0,-59.0,56.0,33.0,133.0,12.0,-91.0,5924.0,90.0,-12.0,7.2631036368074655,59.28854166127921,
1,873.361,128.39677437541235,28.811187814652982,170.91480140299097,24.0,0.7467,361.0,75.0,259.0,1571.0,27.0,362.0,181.0,520.0,17.04413609151513,119,3,52,56,225.0,-55.0,56.0,36.0,137.0,16.0,-88.0,5926.0,94.0,-9.0,7.279420634586749,59.28854166127921,
2,855.1934,177.1427291535767,32.476464977307636,168.18259617994664,24.0,0.74775,365.0,76.0,263.0,1582.0,26.0,365.0,181.0,521.0,19.24572782835271,117,3,54,56,225.0,-59.0,56.0,33.0,134.0,13.0,-91.0,5936.0,90.0,-12.0,7.2834998840315714,59.28854166127921,
3,837.3773,35.30194487509351,31.57280808361803,151.29769743283276,24.0,0.7491,365.0,76.0,263.0,1582.0,26.0,365.0,181.0,521.0,19.584812922541012,127,1,53,58,225.0,-59.0,56.0,33.0,134.0,13.0,-91.0,5936.0,90.0,-12.0,7.287579133476393,59.28854166127921,
4,808.0533,184.88476104626048,24.709518184828838,177.03730773514877,24.0,0.7412,365.0,76.0,263.0,1582.0,26.0,365.0,181.0,521.0,14.381235552907956,131,4,55,57,225.0,-59.0,56.0,33.0,134.0,13.0,-91.0,5936.0,90.0,-12.0,7.291658382921215,59.28854166127921,
5,803.3802,172.40992572522188,15.04679118956697,179.34356831260123,24.0,0.73435,351.0,73.0,252.0,1534.0,27.0,353.0,178.0,509.0,10.013233308975972,138,0,51,59,225.0,-52.0,56.0,41.0,141.0,19.0,-84.0,5953.0,97.0,31.0,7.295737632366035,59.28854166127921,
6,795.68634,97.41134949283507,16.805998411357912,152.9421153483648,24.0,0.72875,351.0,73.0,252.0,1534.0,27.0,353.0,178.0,509.0,12.826886626333298,134,0,52,59,225.0,-52.0,56.0,41.0,141.0,19.0,-84.0,5953.0,97.0,31.0,7.2998168818107905,59.28854166127921,
7,757.74005,210.11813958530763,10.233034387682903,175.75151332234284,25.0,0.7258,342.0,71.0,248.0,1509.0,28.0,348.0,176.0,504.0,9.855017830855049,136,0,51,60,226.0,-48.0,57.0,45.0,145.0,23.0,-81.0,5967.0,101.0,34.0,7.303896131255612,59.28854166127921,
8,771.30096,248.29961761596292,9.644388389917754,200.36509823101483,25.0,0.7178,342.0,71.0,248.0,1509.0,28.0,348.0,176.0,504.0,7.748819839223115,134,0,51,60,226.0,-48.0,57.0,45.0,145.0,23.0,-81.0,5967.0,101.0,34.0,7.307975380700432,59.28854166127921,
9,821.7695,272.37153818212306,14.03542875622685,222.82094570307004,24.0,0.7085,348.0,72.0,251.0,1523.0,27.0,352.0,176.0,505.0,14.598666455429477,137,0,53,60,226.0,-52.0,56.0,41.0,141.0,19.0,-85.0,5962.0,97.0,31.0,7.312054630145254,59.28854166127921,
