system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,13.172784,202.41928804844022,1.7698992454383198,181.75269719369825,21.0,0.69505,141.0,36.0,131.0,724.0,26.0,204.0,87.0,244.0,1.562725002041279,153,1,53,54,242.0,-11.0,52.0,13.0,201.0,72.0,-41.0,6769.0,161.0,124.0,10.375570963200301,59.28854166127921,
1,9.856234,217.74890913063425,3.106894350816379,185.69480875835407,21.0,0.7672,141.0,36.0,131.0,724.0,26.0,204.0,87.0,244.0,2.588062710828529,151,2,55,56,242.0,-11.0,52.0,13.0,201.0,72.0,-41.0,6759.0,161.0,124.0,10.374935909245854,59.28645832794606,
2,11.141845,179.09880715493657,3.9164651561641315,175.6578207568921,21.0,0.8046,141.0,36.0,131.0,724.0,26.0,204.0,87.0,244.0,4.871833627513596,158,1,54,52,242.0,-11.0,52.0,13.0,201.0,72.0,-41.0,6769.0,161.0,124.0,10.379014909013476,59.28645832794606,
3,10.420586,188.7529846272074,4.042452133501754,180.433267068016,21.0,0.69005,141.0,36.0,131.0,724.0,26.0,204.0,87.0,244.0,4.971450034352023,159,1,56,55,242.0,-11.0,52.0,13.0,201.0,72.0,-41.0,6769.0,161.0,124.0,10.383093908781033,59.28645832794606,
4,140.90479,227.274087948155,5.993955023499223,189.75498860788,22.0,0.71015,147.0,38.0,134.0,752.0,26.0,215.0,88.0,252.0,5.371890472141325,142,8,53,59,248.0,-20.0,56.0,5.0,196.0,63.0,-52.0,6797.0,152.0,116.0,10.101024688274086,59.28437499461292,
5,4.839663,182.042604956137,3.7500016320747855,180.25688269235533,21.0,0.7417,141.0,36.0,131.0,724.0,26.0,204.0,87.0,244.0,2.7952582473456675,154,2,56,52,242.0,-11.0,52.0,13.0,201.0,72.0,-41.0,6769.0,161.0,124.0,10.378379696867356,59.28437499461292,
6,183.31586,187.96020504384853,5.038435894191934,188.69612297879326,22.0,0.8046,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,6.825158454473373,139,5,53,60,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6794.0,149.0,113.0,10.039229032939145,59.282291661279764,
7,189.09375,152.1305685499072,4.729490303783557,170.10933569972113,22.0,0.8115,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,5.304139016302612,144,6,51,58,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6788.0,149.0,113.0,10.043307533460226,59.282291661279764,
8,176.07712,185.4365436518102,5.408302498400672,182.73844811768024,22.0,0.8184,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,7.1498569559952525,144,5,52,57,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6788.0,149.0,113.0,10.047386033981308,59.282291661279764,
9,130.65648,183.51023496595664,4.070144266350376,186.68747157780325,22.0,0.7434,148.0,38.0,134.0,754.0,26.0,216.0,88.0,253.0,3.1116675314251165,137,4,51,61,248.0,-21.0,56.0,4.0,196.0,63.0,-52.0,6801.0,152.0,115.0,10.096328040234212,59.282291661279764,
10,183.54028,226.6290136370275,7.344808451147572,193.15061320695636,22.0,0.8129,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,6.402528654854739,145,5,54,61,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6794.0,149.0,113.0,10.038614717965332,59.280208327946625,
11,191.75534,148.31284522604997,6.459901209742886,178.48022605714627,22.0,0.8156,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,8.958619818489982,146,6,52,60,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6788.0,149.0,113.0,10.042692968917056,59.280208327946625,
12,179.34734,179.01274185184218,7.775093753326382,178.55506553559565,22.0,0.8197,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,9.855687181306372,145,5,53,58,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6788.0,149.0,113.0,10.04677121986878,59.280208327946625,
13,185.7624,180.37825858156037,9.147282103624857,179.84650429015755,22.0,0.8161,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,10.912649792307207,150,4,51,59,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6788.0,149.0,113.0,10.04207849285753,59.27812499461347,
14,180.61995,157.9179525654939,9.557466477566818,166.15245675230432,22.0,0.83095,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,12.758249801423261,148,4,53,60,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6788.0,149.0,113.0,10.046156494275829,59.27812499461347,
15,173.18579,167.82753522678848,9.617599043481308,174.17997006619157,22.0,0.82675,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,10.77438266989211,147,4,52,60,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6788.0,149.0,113.0,10.045541857184597,59.27604166128033,
16,171.14406,214.96508971540013,9.86441255721003,196.19288542328795,22.0,0.8372,151.0,39.0,135.0,764.0,26.0,219.0,89.0,256.0,10.938455501704775,148,4,53,62,248.0,-24.0,57.0,2.0,193.0,60.0,-55.0,6788.0,149.0,113.0,10.049619609105395,59.27604166128033,
17,43.55855,173.18046986220475,5.859341030779993,182.6446981995652,24.0,0.7958,145.0,37.0,123.0,743.0,28.0,214.0,88.0,256.0,6.141638174856164,154,2,60,54,256.0,-20.0,62.0,8.0,203.0,65.0,-53.0,6878.0,155.0,118.0,9.559704515931392,59.27395832794718,
18,154.8478,173.4628204023353,13.368455699619123,180.79522132548146,22.0,0.8195,149.0,39.0,135.0,756.0,25.0,217.0,88.0,253.0,12.466242036627044,148,4,53,60,247.0,-22.0,56.0,4.0,194.0,62.0,-53.0,6773.0,151.0,114.0,10.0449273085772,59.27395832794718,
19,163.451,235.30795235712492,12.22043508272201,205.2990291138924,22.0,0.836,149.0,39.0,135.0,756.0,25.0,217.0,88.0,253.0,13.2021905350077,149,4,54,63,247.0,-22.0,56.0,4.0,194.0,62.0,-53.0,6773.0,151.0,114.0,10.049004811036417,59.27395832794718,
20,198.59319,223.50180581204899,10.637422850979458,197.94123634692292,22.0,0.84355,154.0,40.0,138.0,775.0,25.0,223.0,89.0,257.0,9.86239178341626,148,4,53,58,247.0,-26.0,56.0,0.0,190.0,58.0,-57.0,6778.0,147.0,110.0,10.053082313495633,59.27395832794718,
21,133.3562,177.71782173981202,11.229348292391194,178.36531172225736,22.0,0.8214,149.0,39.0,135.0,756.0,25.0,217.0,88.0,253.0,14.83012982148325,141,4,52,59,247.0,-22.0,56.0,4.0,194.0,62.0,-53.0,6773.0,151.0,114.0,10.044312848435787,59.27187499461404,
22,158.56816,227.72100719622452,10.647161965051174,206.5167384715658,22.0,0.82785,149.0,39.0,135.0,756.0,25.0,217.0,88.0,253.0,13.381222645899959,143,5,54,59,247.0,-22.0,56.0,4.0,194.0,62.0,-53.0,6773.0,151.0,114.0,10.048390101469332,59.27187499461404,
23,191.59888,232.69433187096357,12.893778530281535,210.40931139611575,22.0,0.84025,154.0,40.0,138.0,775.0,25.0,223.0,89.0,257.0,15.678116403567033,140,4,53,57,247.0,-26.0,56.0,0.0,190.0,58.0,-57.0,6778.0,147.0,110.0,10.052467354502877,59.27187499461404,
24,244.88171,245.70268670869433,10.658524380804135,203.34236153464312,22.0,0.83405,154.0,40.0,138.0,775.0,25.0,223.0,89.0,257.0,11.633228660848417,150,2,52,57,247.0,-26.0,56.0,0.0,190.0,58.0,-57.0,6778.0,147.0,110.0,10.05654460753642,59.27187499461404,
25,184.50386,284.26042818979204,14.941808720385014,222.95293218350307,22.0,0.8425,154.0,40.0,138.0,775.0,25.0,223.0,89.0,257.0,16.48033059752131,143,4,54,58,247.0,-26.0,56.0,0.0,190.0,58.0,-57.0,6778.0,147.0,110.0,10.051852484030045,59.269791661280884,
26,245.38988,245.3215524028051,11.782149211009855,212.89845304839346,22.0,0.83565,154.0,40.0,138.0,775.0,25.0,223.0,89.0,257.0,12.962367735190485,145,1,51,55,247.0,-26.0,56.0,0.0,190.0,58.0,-57.0,6778.0,147.0,110.0,10.055929487673822,59.269791661280884,
27,240.64757,243.58296729264197,22.79979383958052,232.272165474407,24.0,0.8507,158.0,40.0,134.0,789.0,27.0,229.0,92.0,266.0,22.746862319944825,161,2,51,57,253.0,-30.0,61.0,-2.0,191.0,54.0,-62.0,6783.0,143.0,107.0,9.623135683824488,59.25312499461571,
28,205.71562,251.57486528440023,25.31755309366028,233.90105672748015,22.0,0.84705,151.0,39.0,135.0,765.0,26.0,220.0,89.0,257.0,23.842231980881675,153,7,51,60,248.0,-23.0,57.0,2.0,193.0,60.0,-55.0,6779.0,149.0,113.0,9.981126458219563,59.25104166128257,
29,360.777,203.89747442658665,11.119959887490797,184.1565776098537,23.0,0.7776,162.0,42.0,144.0,811.0,25.0,236.0,93.0,267.0,11.382927164192113,145,9,54,61,247.0,-33.0,57.0,-9.0,182.0,49.0,-65.0,6720.0,138.0,101.0,10.005575022721516,59.25104166128257,
