system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,33.51091,193.28936377108187,3.625927028355705,185.4311038112353,28.0,0.7694,590.0,102.0,349.0,2219.0,33.0,450.0,285.0,810.0,3.939350963278138,122,6,50,64,177.0,20.0,51.0,91.0,173.0,75.0,-4.0,4588.0,135.0,84.0,5.275965932265346,60.72187499448425,
1,31.899708,179.0379870201143,3.81765766964836,182.6013984778019,28.0,0.7925,590.0,102.0,349.0,2219.0,33.0,450.0,285.0,810.0,3.897995588146935,115,7,48,62,177.0,20.0,51.0,91.0,173.0,75.0,-4.0,4588.0,135.0,84.0,5.2798834860511805,60.71979166115111,
2,12.585428,131.29718555017652,10.85623677110613,165.45549561928567,28.0,0.8114,559.0,98.0,335.0,2122.0,33.0,435.0,272.0,776.0,15.111462087136383,112,9,56,57,176.0,23.0,51.0,93.0,175.0,78.0,-1.0,4564.0,137.0,86.0,5.215582084540243,60.63854166115838,
3,34.960518,80.14887418678043,13.223227098373876,151.3377603375536,28.0,0.8032,559.0,98.0,335.0,2122.0,33.0,435.0,272.0,776.0,12.006316754683306,137,10,57,54,176.0,23.0,51.0,93.0,175.0,78.0,-1.0,4564.0,137.0,86.0,5.21524501604581,60.636458327825224,
4,25.087734,156.80048072485783,1.3414577944659871,180.1983749995657,27.0,0.69795,446.0,93.0,310.0,1971.0,32.0,529.0,252.0,715.0,0.6772692159655379,130,5,55,68,171.0,23.0,47.0,86.0,170.0,76.0,-1.0,4314.0,132.0,89.0,4.828184810972182,60.60520832782803,
5,20.648552,133.68939589635406,1.9604753078777364,178.86780539101585,27.0,0.7465,446.0,93.0,310.0,1969.0,32.0,527.0,252.0,714.0,2.4013601628077406,121,6,55,69,171.0,23.0,47.0,86.0,170.0,76.0,-1.0,4314.0,132.0,89.0,4.827250127519757,60.59895832782858,
6,92.566444,112.5855227204158,1.400047591403273,176.22621183074318,28.0,0.754,632.0,109.0,373.0,2347.0,32.0,479.0,295.0,840.0,1.526575015990752,135,8,52,62,177.0,10.0,50.0,80.0,162.0,64.0,-15.0,4571.0,124.0,73.0,5.243136292323849,60.59895832782858,
7,133.78395,128.0567918315154,16.84336533640608,183.33874596206786,28.0,0.786,637.0,110.0,376.0,2357.0,31.0,487.0,292.0,834.0,10.899673820076705,117,9,51,64,179.0,7.0,51.0,79.0,161.0,62.0,-18.0,4650.0,123.0,70.0,5.316876610929826,60.42812499451054,
8,226.05637,228.6294697855189,48.167031369713385,242.14502758022033,28.0,0.755,637.0,110.0,376.0,2357.0,31.0,487.0,292.0,834.0,37.11972268596486,122,10,54,62,179.0,7.0,51.0,79.0,161.0,62.0,-18.0,4650.0,123.0,70.0,5.321098029437657,60.42812499451054,
9,138.11725,149.05448631480525,25.386654959953404,190.82299741267204,28.0,0.7607,637.0,110.0,376.0,2357.0,31.0,487.0,292.0,834.0,14.279651372425908,115,8,51,66,179.0,7.0,51.0,79.0,161.0,62.0,-18.0,4650.0,123.0,70.0,5.320757077770566,60.4260416611774,
10,228.36125,237.66564726629042,39.58636398351922,238.8717273620056,28.0,0.7787,637.0,110.0,376.0,2357.0,31.0,487.0,292.0,834.0,32.71728708269581,125,7,50,62,179.0,7.0,51.0,79.0,161.0,62.0,-18.0,4650.0,123.0,70.0,5.324978225789172,60.4260416611774,
11,306.41824,238.19272745180237,16.613894788651763,207.0301723892488,28.0,0.8004,598.0,105.0,360.0,2250.0,32.0,469.0,282.0,806.0,15.622014584487395,135,8,50,57,180.0,13.0,52.0,87.0,168.0,69.0,-12.0,4703.0,131.0,77.0,5.329199373807777,60.4260416611774,
12,190.4064,257.7778754335242,26.671447853515566,236.9439037305121,28.0,0.7633,629.0,109.0,372.0,2335.0,31.0,483.0,290.0,828.0,26.13672841584724,111,8,49,64,180.0,8.0,51.0,80.0,163.0,63.0,-17.0,4679.0,125.0,71.0,5.324637054397349,60.42395832784425,
13,300.05487,243.18897436405916,25.128680152847952,223.03833255689858,27.0,0.77745,681.0,115.0,393.0,2474.0,31.0,506.0,304.0,863.0,22.109700859216556,125,10,48,62,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.328857931966971,60.42395832784425,
14,365.80286,246.0137488699777,32.90099376534411,233.72789815696174,27.0,0.7856,681.0,115.0,393.0,2474.0,31.0,506.0,304.0,863.0,28.61935262312808,120,7,46,60,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.333078809536595,60.42395832784425,
15,160.88345,201.93779483574417,22.46381092435517,190.27245102147162,28.0,0.7013,629.0,109.0,372.0,2335.0,31.0,483.0,290.0,828.0,17.983935922482917,130,9,48,61,180.0,8.0,51.0,80.0,163.0,63.0,-17.0,4679.0,125.0,71.0,5.324295933759364,60.42187499451111,
16,242.00786,207.08061425044357,32.63582311550308,210.3291972796919,27.0,0.7624,681.0,115.0,393.0,2474.0,31.0,506.0,304.0,863.0,26.159937494596505,122,8,50,61,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.328516540920236,60.42187499451111,
17,278.53632,212.62877335481647,33.6352361128354,215.97763933692605,27.0,0.79895,681.0,115.0,393.0,2474.0,31.0,506.0,304.0,863.0,21.151389998342196,122,8,49,60,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.332737148081111,60.42187499451111,
18,390.86554,232.89962041357538,41.768362933334934,233.44851929339612,27.0,0.75395,597.0,117.0,401.0,2528.0,31.0,514.0,309.0,877.0,29.948812012944785,122,7,48,58,179.0,-5.0,50.0,65.0,149.0,50.0,-30.0,4666.0,111.0,30.0,5.336957755241984,60.42187499451111,
19,192.55469,179.64378338097862,26.431608792766454,195.01330852863347,27.0,0.7909,681.0,115.0,393.0,2474.0,31.0,506.0,304.0,863.0,20.897059609907828,116,8,50,63,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.328175200656904,60.41979166117795,
20,237.85764,282.38324421278105,17.332859421814003,220.65777941627076,27.0,0.8125,681.0,115.0,393.0,2474.0,31.0,506.0,304.0,863.0,16.00129983879343,114,8,47,62,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.332395537449253,60.41979166117795,
21,325.99506,278.6996728108081,33.97793322221078,241.13758129323665,27.0,0.79355,597.0,117.0,401.0,2528.0,31.0,514.0,309.0,877.0,30.384031908711048,123,9,50,59,179.0,-5.0,50.0,65.0,149.0,50.0,-30.0,4666.0,111.0,30.0,5.3366158742416,60.41979166117795,
22,262.89478,204.28477572162922,36.342684401880206,204.74616414655748,27.0,0.8034,681.0,115.0,393.0,2474.0,31.0,506.0,304.0,863.0,27.440033962982564,112,8,49,61,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.327833911166317,60.417708327844814,
23,274.55954,216.78121842737883,29.924287389464833,188.88059793738512,27.0,0.8034,681.0,115.0,393.0,2474.0,31.0,506.0,304.0,863.0,21.140163004879202,117,7,49,61,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.3320539776303555,60.417708327844814,
24,321.56412,209.48683451510584,34.047925691269626,196.53405058257277,28.0,0.7766,669.0,113.0,387.0,2440.0,31.0,501.0,300.0,854.0,18.37985628729758,119,7,46,61,178.0,1.0,50.0,73.0,155.0,57.0,-23.0,4667.0,118.0,66.0,5.331712468613749,60.41562499451166,
25,343.38336,209.09134741888897,18.458932031377657,206.89141120599203,27.0,0.76335,681.0,115.0,393.0,2475.0,31.0,507.0,304.0,863.0,17.56248542018713,117,7,50,60,179.0,-1.0,50.0,70.0,153.0,54.0,-26.0,4678.0,115.0,64.0,5.335932264789685,60.41562499451166,
