system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,629.05963,179.42746043805332,0.38197326743047516,180.50715465428755,25.0,0.6938,100.0,27.0,86.0,629.0,40.0,246.0,88.0,246.0,0.038495956811145836,130,3,53,52,308.0,-90.0,78.0,-45.0,180.0,13.0,-128.0,8060.0,118.0,118.0,11.045277807100698,61.08437499445181,
1,617.99994,63.55473353660383,2.0307459727528583,174.95892936876496,25.0,0.7403,99.0,27.0,86.0,625.0,40.0,244.0,87.0,244.0,2.0060862024275328,133,5,55,54,307.0,-89.0,78.0,-44.0,180.0,14.0,-127.0,8059.0,119.0,119.0,11.079747174159062,61.08437499445181,
2,528.1015,153.61122608045687,16.313363978652447,158.0252421441849,25.0,0.7899,96.0,26.0,83.0,610.0,41.0,238.0,85.0,238.0,20.58771975075262,135,4,57,55,307.0,-86.0,78.0,-40.0,184.0,19.0,-123.0,8079.0,124.0,124.0,11.165920591805003,61.08437499445181,
3,377.15463,112.13336399064228,11.415457008363726,158.8506273192736,25.0,0.7951,90.0,24.0,78.0,585.0,41.0,227.0,81.0,229.0,11.796495345866127,127,6,59,53,308.0,-76.0,78.0,-30.0,194.0,29.0,-114.0,8095.0,133.0,119.0,11.252094009450946,61.08437499445181,
4,685.9826,245.85778692582716,4.699945630532937,185.5076355692771,25.0,0.7405,112.0,29.0,98.0,681.0,37.0,260.0,93.0,260.0,2.7544448041720893,151,7,54,59,303.0,-91.0,77.0,-82.0,174.0,11.0,-129.0,7983.0,115.0,115.0,12.281866350319678,61.08437499445181,
5,688.14343,155.71581722414294,5.244778493404539,178.53246429739917,25.0,0.746,112.0,29.0,98.0,679.0,37.0,259.0,93.0,259.0,2.641332166842633,148,8,53,60,302.0,-90.0,76.0,-81.0,174.0,12.0,-128.0,7954.0,115.0,115.0,12.286175021201982,61.08437499445181,
6,614.89026,61.27076469810915,2.0542330009394827,175.49605674006713,25.0,0.7307,99.0,27.0,86.0,627.0,40.0,245.0,88.0,245.0,1.7778749439194852,139,4,54,51,306.0,-90.0,78.0,-45.0,179.0,14.0,-127.0,8057.0,119.0,119.0,11.08332628741914,61.08229166111866,
7,609.83844,115.28820816817718,0.4456114675505268,179.42721545595057,25.0,0.7069,99.0,27.0,86.0,625.0,40.0,244.0,87.0,244.0,0.28097823002011213,132,3,55,51,307.0,-89.0,78.0,-44.0,180.0,15.0,-127.0,8060.0,120.0,120.0,11.096251449269992,61.08229166111866,
8,398.224,193.49663427407654,15.488977149692191,176.8243073216033,25.0,0.8009,96.0,26.0,83.0,611.0,41.0,239.0,85.0,239.0,14.084276013167285,131,8,60,51,308.0,-84.0,78.0,-39.0,186.0,20.0,-122.0,8088.0,125.0,125.0,11.25135339147993,61.08229166111866,
9,550.3927,180.31824902928653,7.34190425463215,185.83459150138845,25.0,0.7518,107.0,28.0,93.0,655.0,37.0,249.0,89.0,249.0,5.531641013024947,138,9,54,59,303.0,-84.0,77.0,-74.0,181.0,19.0,-122.0,8005.0,123.0,123.0,12.21643214300836,61.08229166111866,
10,670.2469,175.59439121181063,9.757699458332265,182.46731409276626,25.0,0.77955,112.0,29.0,97.0,677.0,37.0,258.0,92.0,258.0,6.023087686383203,150,8,52,60,302.0,-89.0,76.0,-79.0,176.0,14.0,-126.0,7971.0,117.0,117.0,12.289674726829713,61.08229166111866,
11,669.46783,172.81104502285694,6.541251977188331,180.05890868759556,25.0,0.7679,112.0,29.0,97.0,677.0,37.0,258.0,92.0,258.0,4.634987194608423,145,7,52,61,302.0,-89.0,76.0,-79.0,176.0,14.0,-126.0,7977.0,117.0,117.0,12.29398311411333,61.08229166111866,
12,671.0758,156.85959652290913,5.113561795615162,177.08571783552824,25.0,0.7698,112.0,29.0,97.0,677.0,37.0,258.0,92.0,258.0,4.628781931201193,150,9,54,61,302.0,-89.0,76.0,-79.0,176.0,14.0,-126.0,7977.0,117.0,117.0,12.298291501396948,61.08229166111866,
13,653.61005,117.75863606321403,0.8713475881969176,178.77295072214898,25.0,0.7172,101.0,27.0,87.0,635.0,40.0,248.0,89.0,248.0,0.9256926347073158,121,4,55,52,308.0,-92.0,78.0,-46.0,178.0,12.0,-130.0,8064.0,117.0,117.0,10.974894247283125,61.08020832778551,
