soil_ph,soil_bd,DTM_10m,slope,temp_seasonality,soil_sand,rain_warmestQuart,soil_carbon,isothermality,aspect,ndvi,id
57,137,850.84375,10.678791445862574,7952,54,247,5,26,109.56746522020532,0.74295,23194
53,149,202.69989,6.677831883615454,7201,61,243,11,23,155.00154291306026,0.76325,34976
51,106,655.59735,9.712072488901443,7050,60,240,6,26,256.3364802362086,0.7766,14491
54,122,911.98004,6.292424783031423,5754,54,224,0,29,326.9294963075078,0.7719,82949
53,123,673.16296,17.552314057148802,5962,59,348,4,24,284.81661139122673,0.7662,77584
58,136,802.6329,4.567296773051765,7943,51,239,8,24,82.08446037073728,0.5943,40503
54,140,255.96178,6.308764938336953,7343,59,246,11,23,157.01653990099183,0.7925,34724
55,115,1026.715,15.029628810980462,6337,55,257,0,28,272.5546941909687,0.73425,86013
55,127,767.5272,7.367342710108098,7445,50,239,5,26,175.1481711073792,0.7964,17369
51,149,721.58545,10.206522993899874,7901,58,269,6,25,69.1408411998062,0.80535,31542
58,126,210.05719,48.291491212124626,5627,58,352,5,28,174.7871470769395,0.8215,59106
57,121,665.7845,30.28568217064798,5973,55,274,5,28,76.28606689395691,0.8468,86605
58,129,795.73914,3.7062466543910446,7908,48,240,7,24,185.22008918253246,0.6162,40632
58,138,673.11914,5.1278924551122245,7971,55,240,2,24,253.90228688900584,0.6043,43204
55,111,838.21716,4.858140471351768,7392,52,236,7,26,103.29089900060687,0.7801,37544
52,123,514.1462,9.524137646492905,5482,61,278,3,28,235.10780855832337,0.817,84427
56,123,982.2608,9.51574650468892,6157,53,344,2,25,293.74215144925665,0.7002,76820
55,123,854.4861,9.703265308963731,6870,56,244,8,27,282.52423309574897,0.80095,82115
53,126,927.45886,7.638863553647708,7941,51,269,3,24,300.8556339744317,0.618,44196
55,128,832.15717,8.204391843116579,7982,51,256,5,24,197.95644486685663,0.7113,44983
54,123,796.8218,3.187190676932236,7724,55,251,6,24,79.27151568559361,0.69225,36717
58,141,896.70087,4.999664042631207,7864,52,265,15,26,26.550046577005062,0.74685,28078
51,141,519.85535,21.663049741524336,6033,58,304,3,24,213.02506134643704,0.7364,69369
58,130,592.7387,11.150357340291462,7828,56,222,8,25,239.06821833129302,0.78335,43406
59,136,780.0313,0.09039712056373644,7934,51,246,12,24,90.44262947548926,0.5748,41488
55,132,696.5242,1,8034,51,237,4,25,197.59688013563158,0.6892,47485
57,73,156.4508,41.63427092313533,5004,57,208,22,29,118.81156001625398,0.8623,63528
52,142,836.2287,28.746405012619466,6162,55,300,7,28,263.89101707527635,0.7767,14536
55,130,878.72906,5.310569626455956,5720,52,227,5,28,257.8192437890184,0.7607,83069
53,135,889.3685,8.563724052384,7966,48,271,5,25,282.3952006262925,0.6177,51465
58,134,840.33344,1.137462639571813,7924,52,257,2,27,148.6354757541139,0.6976,26503
57,143,200.10977,0.2872827900942154,7925,62,246,5,24,152.92094404282363,0.79185,32953
56,136,727.94324,6.402791279312186,8322,57,227,4,27,192.34511763607105,0.77365,413
50,146,556.0762,11.307550187270722,7215,64,256,6,25,247.86346694649205,0.6926,10762
